,Timestamp,Server,Tactic,Latency,Cost,Reliability,
,2020-04-02 20:03:07.206184,1,1,10.287333011627197,7.5,1,
,2020-04-02 20:04:08.462976,1,2,61.23511981964111,28.5,1,
,2020-04-02 20:04:08.598936,1,3,0.03003668785095215,24.1,1,
,2020-04-02 20:05:08.508191,1,4,59.90888500213623,30.6,1,
,2020-04-02 20:05:14.140619,1,5,5.631706953048706,26.5,1,
,2020-04-02 20:05:34.653163,2,1,9.958088159561157,8.9,1,
,2020-04-02 20:06:41.308639,2,2,66.63016748428345,31.7,1,
,2020-04-02 20:06:41.447098,2,3,0.031108617782592773,28.6,1,
,2020-04-02 20:07:40.846698,2,4,59.39918565750122,28.8,1,
,2020-04-02 20:07:48.212871,2,5,7.365473508834839,32.1,1,
,2020-04-02 20:08:27.250149,3,1,10.670847415924072,4.3,1,
,2020-04-02 20:09:31.537072,3,2,64.26514315605164,31.0,1,
,2020-04-02 20:09:31.682196,3,3,0.036406517028808594,39.7,1,
,2020-04-02 20:10:30.551763,3,4,58.8690299987793,29.3,1,
,2020-04-02 20:10:38.571228,3,5,8.01853060722351,33.9,1,
,2020-04-02 20:11:15.885394,4,1,13.72895097732544,4.7,1,
,2020-04-02 20:12:17.901768,4,2,61.99475049972534,29.1,1,
,2020-04-02 20:12:18.038800,4,3,0.02978515625,24.1,1,
,2020-04-02 20:13:20.035182,4,4,61.9960081577301,29.8,1,
,2020-04-02 20:13:25.891451,4,5,5.8554956912994385,27.1,1,
,2020-04-02 20:13:48.153712,5,1,10.886971235275269,6.8,1,
,2020-04-02 20:14:49.966801,5,2,61.791542530059814,27.6,1,
,2020-04-02 20:14:50.108094,5,3,0.029929399490356445,25.0,1,
,2020-04-02 20:15:48.251403,5,4,58.14293694496155,29.8,1,
,2020-04-02 20:15:54.477052,5,5,6.223752975463867,28.0,1,
,2020-04-02 20:16:11.725582,6,1,6.240767478942871,10.1,1,
,2020-04-02 20:17:13.705595,6,2,61.95836281776428,28.7,1,
,2020-04-02 20:17:13.841735,6,3,0.029672861099243164,25.5,1,
,2020-04-02 20:18:13.736732,6,4,59.89458990097046,28.9,1,
,2020-04-02 20:18:19.484656,6,5,5.747171401977539,26.5,1,
,2020-04-02 20:18:39.854351,7,1,8.612492084503174,9.2,1,
,2020-04-02 20:19:42.371658,7,2,62.495383501052856,28.4,1,
,2020-04-02 20:19:42.508319,7,3,0.030669689178466797,24.1,1,
,2020-04-02 20:20:44.099579,7,4,61.59086608886719,28.7,1,
,2020-04-02 20:20:49.634080,7,5,5.533744812011719,26.2,1,
,2020-04-02 20:21:53.837842,8,1,30.61694312095642,3.3,1,
,2020-04-02 20:22:57.817054,8,2,63.95723009109497,29.7,1,
,2020-04-02 20:22:57.952361,8,3,0.029144763946533203,25.9,1,
,2020-04-02 20:23:58.097942,8,4,60.14519119262695,30.1,1,
,2020-04-02 20:24:03.866739,8,5,5.768096923828125,27.2,1,
,2020-04-02 20:24:26.768795,1,1,10.47455096244812,6.7,1,
,2020-04-02 20:25:28.792183,1,2,62.001779079437256,28.5,1,
,2020-04-02 20:25:28.927910,1,3,0.029923439025878906,25.9,1,
,2020-04-02 20:26:28.712796,1,4,59.7845094203949,31.3,1,
,2020-04-02 20:26:34.362710,1,5,5.649072170257568,26.6,1,
,2020-04-02 20:26:53.828190,2,1,9.819958448410034,8.7,1,
,2020-04-02 20:27:56.524397,2,2,62.67456603050232,29.0,1,
,2020-04-02 20:27:56.662069,2,3,0.02871394157409668,44.4,1,
,2020-04-02 20:28:55.287085,2,4,58.62460279464722,29.0,1,
,2020-04-02 20:29:01.240822,2,5,5.9530558586120605,30.4,1,
,2020-04-02 20:29:31.640723,3,1,11.211161375045776,4.5,1,
